Time,F_Scale,Location,County,State,Lat,Lon,Comments
1752,200,Claypool,Kosciusko,IN,41.13,-85.88,Broadcast media relayed a photo from the public of what is estimated to be between 2 and 2.25 inch hail in Claypool. Delayed report and time estimated by radar. (IWX)
1755,125,1 NNE Claypool,Kosciusko,IN,41.14,-85.87,Hail ranging from marble to half dollar size reported on the northeast side of Claypool. (IWX)
1800,100,2 ESE Winona Lake,Kosciusko,IN,41.21,-85.79,Reported at the Stonehenge Golf Course. (IWX)
1817,100,3 ESE Ulysses,Butler,NE,41.05,-97.15,(OAX)
1822,200,2 SSW Dwight,Butler,NE,41.06,-97.04,(OAX)
1826,175,Dwight,Butler,NE,41.08,-97.02,Lots of quarter to golf ball sized hail. damage to vinyl siding. (OAX)
1840,100,4 NNW Valparaiso,Saunders,NE,41.13,-96.86,(OAX)
1900,100,1 W Story City,Story,IA,42.19,-93.62,(DMX)
1904,125,Story City,Story,IA,42.18,-93.59,(DMX)
1905,100,2 NNE Wahoo,Saunders,NE,41.24,-96.6,(OAX)
1905,100,Hicksville,Defiance,OH,41.29,-84.77,(IWX)
1918,100,2 E Wolco,Osage,OK,36.54,-96.03,Report from mPING: Quarter (1.00 in.). (TSA)
1925,100,Ochelata,Washington,OK,36.6,-95.98,Photo shared on social media. (TSA)
1932,150,Defiance,Defiance,OH,41.27,-84.36,(IWX)
1948,100,1 SW Cherryvale,Montgomery,KS,37.26,-95.57,Location estimated. (ICT)
1951,175,Cherryvale,Montgomery,KS,37.27,-95.55,(ICT)
2021,175,5 WNW Erie,Neosho,KS,37.6,-95.32,Hospital EM reported golf ball sized hail at 160th and Marshall in Shaw. (ICT)
2034,100,3 E Tiffin,Seneca,OH,41.11,-83.11,(CLE)
2040,175,Solon,Cuyahoga,OH,41.37,-81.42,Corrects previous hail report from Solon. Images shared via social media of large hail. (CLE)
2042,100,Wichita Falls,Wichita,TX,33.91,-98.49,Wichita County Skywarn reports Quarters in downtown Wichita Falls. (OUN)
2047,100,1 NE Parma,Cuyahoga,OH,41.4,-81.71,(CLE)
2048,100,1 ESE Parma Heights,Cuyahoga,OH,41.38,-81.75,(CLE)
2048,100,Collins,Story,IA,41.9,-93.31,(DMX)
2049,125,1 W Coffeyville,Montgomery,KS,37.04,-95.65,(ICT)
2055,200,1 N Seven Hills,Cuyahoga,OH,41.4,-81.68,Updated previous hail report from 1 N Seven Hills to 2 inch diameter hail. (CLE)
2056,100,Pawhuska,Osage,OK,36.67,-96.33,(TSA)
